Amostra ;Amostra arq.;Espécies;Sepal length (cm);Sepal width (cm);Petal length (cm);Petal width (cm);Site;Latitude;Longitude;Data
A24;A38;Iris setosa;4.9;3.6;1.4;0.1;2;48.540.502;-64.766.512;13/02/1930
A148;A142;Iris virginica;6.9;3.1;5.1;2.3;3;48.329.837;-65.512.333;01/12/1929
A70;A59;Iris versicolor;6.6;2.9;4.6;1.3;2;48.540.502;-64.766.512;13/02/1930
A16;A15;Iris setosa;5.8;4;1.2;0.2;1;48.935.966;-64.840.984;01/12/1929
A67;A99;Iris versicolor;5.1;2.5;3;1.1;1;48.935.966;-64.840.984;01/12/1929
A144;A130;Iris virginica;7.2;3;5.8;1.6;3;48.329.837;-65.512.333;01/12/1929
A92;A76;Iris versicolor;6.6;3;4.4;1.4;3;48.329.837;-65.512.333;01/12/1929
A108;A123;Iris virginica;7.7;2.8;6.7;2;1;48.935.966;-64.840.984;01/12/1929
A112;A135;Iris virginica;6.1;2.6;5.6;1.4;1;48.935.966;-64.840.984;01/12/1929
A81;A92;Iris versicolor;6.1;3;4.6;1.4;2;48.540.502;-64.766.512;13/02/1930
A51;A51;Iris versicolor;7;3.2;4.7;1.4;1;48.935.966;-64.840.984;01/12/1929
A75;A74;Iris versicolor;6.1;2.8;4.7;1.2;2;48.540.502;-64.766.512;13/02/1930
A32;A11;Iris setosa;5.4;3.7;1.5;0.2;2;48.540.502;-64.766.512;13/02/1930
A34;A19;Iris setosa;5.7;3.8;1.7;0.3;3;48.329.837;-65.512.333;01/12/1929
A52;A54;Iris versicolor;5.5;2.3;4;1.3;1;48.935.966;-64.840.984;01/12/1929
