sample_card;sample_pdf;site;latitude;longitude;date;specie;sepal_lenght_cm;sepal_widht_cm;petal_lenght_cm;petal_width_cm
a3;a12;1;48.935.966;-64.840.984;01/12/1929;Iris setosa;4.7;3.2;1.3;0.2
a4;a46;3;48.329.837;-65.512.333;01/12/1929;Iris setosa;4.6;3.1;1.5;0.2
a7;a47;3;48.329.837;-65.512.333;01/12/1929;Iris setosa;4.6;3.4;1.4;0.3
a25;a36;3;48.329.837;-65.512.333;01/12/1929;Iris setosa;4.8;3.4;1.9;0.2
a27;a4;1;48.935.966;-64.840.984;01/12/1929;Iris setosa;5;3.4;1.6;0.4
a65;a72;2;48.540.502;-64.766.512;13/02/1930;Iris setosa;5.6;2.9;3.6;1.3
a72;a58;1;48.935.966;-64.840.984;01/12/1929;Iris setosa;6.1;2.8;4;1.3
a77;a76;2;48.540.502;-64.766.512;13/02/1930;Iris setosa;6.8;2.8;4.8;1.4
a78;a60;1;48.935.966;-64.840.984;01/12/1929;Iris setosa;6.7;3;5;1.7
a85;a95;3;48.329.837;-65.512.333;01/12/1929;Iris setosa;5.4;3;4.5;1.5
a104;a119;2;48.540.502;-64.766.512;13/02/1930;Iris setosa;6.3;2.9;5.6;1.8
a106;a136;3;48.329.837;-65.512.333;01/12/1929;Iris setosa;7.6;3;6.6;2.1
a111;a104;1;48.935.966;-64.840.984;01/12/1929;Iris setosa;6.5;3.2;5.1;2
a135;a112;1;48.935.966;-64.840.984;01/12/1929;Iris setosa;6.1;2.6;5.6;1.4
a139;a147;3;48.329.837;-65.512.333;01/12/1929;Iris setosa;6;3;4.8;1.8
