id ficha;site;latitude;longitude;date;sample;specie;sepal lenght;sepal width;petal length;petal width
A17;1;48935966;-64840984;01/12/1929;A150;iris virginica;5.9;3;5.1;1.8
A130;2;48540502;-64766512;13/02/1930;A137;iris virginica;6.3;3.4;5.6;2.4
A61;1;48935966;-64840984;01/12/1929;A81;iris versicolor;5.5;2.4;3.8;1.1
A38;3;48329837;-65512333;01/12/1929;A31;iris setosa;4.8;3.1;1.6;0.2
A129;2;48540502;-64766512;13/02/1930;A134;iris virginica;6.3;2.8;5.1;1.5
A122;2;48540502;-64766512;13/02/1930;A113;iris virginica;6.8;3;5.5;2.1
A41;3;48329837;-65512333;01/12/1929;A40;iris setosa;5.1;3.4;1.5;0.2
A66;1;48935966;-64840984;01/12/1929;A96;iris versicolor;5.7;3;4.2;1.2
A84;3;48329837;-65512333;01/12/1929;A52;iris versicolor;6.4;3.2;4.5;1.5
A137;3;48329837;-65512333;01/12/1929;A109;iris virginica;6.7;2.5;5.8;1.8
A95;3;48329837;-65512333;01/12/1929;A85;iris versicolor;5.4;3;4.5;1.5
A146;3;48329837;-65512333;01/12/1929;A136;iris virginica;7.7;3;6.1;2.3
A79;2;48540502;-64766512;13/02/1930;A86;iris versicolor;6;3.4;4.5;1.6
A80;2;48540502;-64766512;13/02/1930;A89;iris versicolor;5.6;3;4.1;1.3
A53;1;48935966;-64840984;01/12/1929;A57;iris versicolor;6.3;3.3;4.7;1.6
