"","Amostra","Amostra2","Species","Site","Latitude","Longitude","Data","Sepal_length_cm","Sepal_width_cm","Petal_length_cm","Petal_width_cm"
"1","A1","A18","Iris setosa",1,48.935966,-64.840984,"01/12/1929",5.1,3.5,1.4,0.3
"2","A5","A30","Iris setosa",1,48.935966,-64.840984,"02/12/1929",4.7,3.2,1.6,0.2
"3","A9","A47","Iris setosa",1,48.935966,-64.840984,"02/12/1929",4.5,2.3,1.3,0.3
"4","A37","A28","Iris setosa",1,48.935966,-64.840984,"02/12/1929",5.2,3.5,1.5,0.2
"5","A59","A75","Iris setosa",1,48.935966,-64.840984,"02/12/1929",6.4,2.9,4.3,1.3
"6","A82","A95","Iris setosa",2,48.540502,-64.766512,"02/12/1929",5.6,2.7,4.2,1.3
"7","A88","A64","Iris setosa",3,48.329837,-65.512333,"02/12/1929",6.1,2.9,4.7,1.4
"8","A102","A105","Iris setosa",1,48.935966,-64.840984,"02/12/1929",6.5,3,5.8,2.2
"9","A105","A114","Iris setosa",1,48.935966,-64.840984,"02/12/1929",5.7,2.5,5,2
"10","A109","A126","Iris setosa",1,48.935966,-64.840984,"02/12/1929",7.2,3.2,6,1.8
"11","A113","A138","Iris setosa",1,48.935966,-64.840984,"02/12/1929",6.4,3.1,5.5,1.8
"12","A114","A141","Iris setosa",1,48.935966,-64.840984,"02/12/1929",6.7,3.1,5.6,2.4
"13","A117","A150","Iris setosa",1,48.935966,-64.840984,"02/12/1929",5.9,3,5.1,1.8
"14","A118","A101","Iris setosa",2,48.540502,-64.766512,"02/12/1929",6.3,3.3,6,2.5
"15","A133","A146","Iris setosa",2,48.540502,-64.766512,"02/12/1929",6.7,3,5.2,2.3
"16","A38","A24","Iris setosa",2,48.540502,-64.766512,"13/02/1930",4.9,3.6,1.4,0.1
"17","A142","A148","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.9,3.1,5.1,2.3
"18","A59","A70","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",6.6,2.9,4.6,1.3
"19","A15","A16","Iris setosa",1,48.935966,-64.840984,"01/12/1929",5.8,4,1.2,0.2
"20","A99","A67","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",5.1,2.5,3,1.1
"21","A130","A144","Iris virginica",3,48.329837,-65.512333,"01/12/1929",7.2,3,5.8,1.6
"22","A76","A92","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",6.6,3,4.4,1.4
"23","A123","A108","Iris virginica",1,48.935966,-64.840984,"01/12/1929",7.7,2.8,6.7,2
"24","A135","A112","Iris virginica",1,48.935966,-64.840984,"01/12/1929",6.1,2.6,5.6,1.4
"25","A92","A81","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",6.1,3,4.6,1.4
"26","A51","A51","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",7,3.2,4.7,1.4
"27","A74","A75","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",6.1,2.8,4.7,1.2
"28","A11","A32","Iris setosa",2,48.540502,-64.766512,"13/02/1930",5.4,3.7,1.5,0.2
"29","A19","A34","Iris setosa",3,48.329837,-65.512333,"01/12/1929",5.7,3.8,1.7,0.3
"30","A54","A52","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",5.5,2.3,4,1.3
"31",NA,"A21",NA,1,48.935966,-64.840984,"01/12/1929",NA,NA,NA,NA
"32",NA,"A33",NA,1,48.935966,-64.840984,"01/12/1929",NA,NA,NA,NA
"33",NA,"A39",NA,1,48.935966,-64.840984,"01/12/1929",NA,NA,NA,NA
"34",NA,"A23",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"35",NA,"A50",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"36",NA,"A5",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"37",NA,"A22",NA,3,48.329837,-65.512333,"01/12/1929",NA,NA,NA,NA
"38",NA,"A46",NA,3,48.329837,-65.512333,"01/12/1929",NA,NA,NA,NA
"39",NA,"A71",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"40",NA,"A82",NA,3,48.329837,-65.512333,"01/12/1929",NA,NA,NA,NA
"41",NA,"A97",NA,3,48.329837,-65.512333,"01/12/1929",NA,NA,NA,NA
"42",NA,"A104",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"43",NA,"A122",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"44",NA,"A125",NA,2,48.540502,-64.766512,"13/02/1930",NA,NA,NA,NA
"45",NA,"A112",NA,3,48.329837,-65.512333,"01/12/1929",NA,NA,NA,NA
"46","A16","A15","Iris setosa",1,48.935966,-64.840984,"01/12/1929",5.8,4,1.2,0.2
"47","A2","A21","Iris setosa",1,48.935966,-64.840984,"01/12/1929",5.4,3.4,1.7,0.2
"48","A41","A40","Iris setosa",3,48.329837,-65.512333,"01/12/1929",5.1,3.4,1.5,0.2
"49","A44","A49","Iris setosa",3,48.329837,-65.512333,"01/12/1929",5.3,3.7,1.5,0.2
"50","A69","A56","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",5.7,2.8,4.5,1.3
"51","A86","A58","Iris versicolor",3,48.329837,-65.512333,"01/12/1929",4.9,2.4,3.3,1
"52","A71","A62","Iris versicolor",2,48.540502,-64.766512,"13/02/1930",5.9,3,4.2,1.5
"53","A64","A90","Iris versicolor",1,48.935966,-64.840984,"01/12/1929",5.5,2.5,4,1.3
"54","A118","A101","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.3,3.3,6,2.5
"55","A120","A107","Iris virginica",2,48.540502,-64.766512,"13/02/1930",4.9,2.5,4.5,1.7
"56","A139","A115","Iris virginica",3,48.329837,-65.512333,"01/12/1929",5.8,2.8,5.1,2.4
"57","A123","A116","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.4,3.2,5.3,2.3
"58","A141","A121","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.9,3.2,5.7,2.3
"59","A143","A127","Iris virginica",3,48.329837,-65.512333,"01/12/1929",6.2,2.8,4.8,1.8
"60","A131","A140","Iris virginica",2,48.540502,-64.766512,"13/02/1930",6.9,3.1,5.4,2.1
"61","A12","A3","Iris setosa",1,48.935966,-64.840984,"01/12/1929",4.7,3.2,1.3,0.2
"62","A46","A4","Iris setosa",3,48.329837,-65.512333,"01/12/1929",4.6,3.1,1.5,0.2
"63","A47","A7","Iris setosa",3,48.329837,-65.512333,"01/12/1929",4.6,3.4,1.4,0.3
"64","A36","A25","Iris setosa",3,48.329837,-65.512333,"01/12/1929",4.8,3.4,1.9,0.2
"65","A4","A27","Iris setosa",1,48.935966,-64.840984,"01/12/1929",5,3.4,1.6,0.4
"66","A72","A65","Iris setosa",2,48.540502,-64.766512,"13/02/1930",5.6,2.9,3.6,1.3
"67","A58","A72","Iris setosa",1,48.935966,-64.840984,"01/12/1929",6.1,2.8,4,1.3
"68","A76","A77","Iris setosa",2,48.540502,-64.766512,"13/02/1930",6.8,2.8,4.8,1.4
"69","A60","A78","Iris setosa",1,48.935966,-64.840984,"01/12/1929",6.7,3,5,1.7
"70","A95","A85","Iris setosa",3,48.329837,-65.512333,"01/12/1929",5.4,3,4.5,1.5
