amostra_cod,amostra,espécie,site,latitude,longitude,data,sepal lenght (cm),sepal width (cm),petal length (cm),petal width (cm)
A1,A18,Iris setosa,1,.48.935966,-64.840.984,1929-12-01,5.1,3.5,1.4,0.3
A5,A30,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,4.7,3.2,1.6,0.2
A9,A47,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,4.5,2.3,1.3,0.3
A37,A28,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,5.2,3.5,1.5,0.2
A59,A75,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,6.4,2.9,4.3,1.3
A82,A95,Iris setosa,2,48.540.502,-64.766.512,1929-12-02,5.6,2.7,4.2,1.3
A88,A64,Iris setosa,3,48.329.837,-65.512.333,1929-12-02,6.1,2.9,4.7,1.4
A102,A105,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,6.5,3,5.8,2.2
A105,A114,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,5.7,2.5,5,2
A109,A126,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,7.2,3.2,6,1.8
A113,A138,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,6.4,3.1,5.5,1.8
A114,A141,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,6.7,3.1,5.6,2.4
A117,A150,Iris setosa,1,.48.935966,-64.840.984,1929-12-02,5.9,3,5.1,1.8
A118,A101,Iris setosa,2,48.540.502,-64.766.512,1929-12-02,6.3,3.3,6,2.5
A133,A146,Iris setosa,2,48.540.502,-64.766.512,1929-12-02,6.7,3,5.2,2.3
