"datasetName","decimalLongitude","decimalLatitude","scientificName"
"gbif",-64.705543,18.308277,"Chaetodon striatus"
"gbif",-64.74437,18.363802,"Chaetodon striatus"
"gbif",-40.273276,-20.333822,"Chaetodon striatus"
"gbif",-41.874991,-22.741,"Chaetodon striatus"
"gbif",-81.405914,24.548481,"Chaetodon striatus"
"gbif",-86.468875,16.338128,"Chaetodon striatus"
"gbif",-61.063541,13.828304,"Chaetodon striatus"
"gbif",-82.983138,12.302679,"Chaetodon striatus"
"gbif",-61.078684,13.86633,"Chaetodon striatus"
"gbif",-86.445262,16.349916,"Chaetodon striatus"
"gbif",-61.07918,13.863966,"Chaetodon striatus"
"gbif",-68.231208,12.09237,"Chaetodon striatus"
"gbif",-68.231102,12.092598,"Chaetodon striatus"
"gbif",-65.330268,18.324183,"Chaetodon striatus"
"gbif",-67.168947,18.472243,"Chaetodon striatus"
"gbif",-87.291992,20.429195,"Chaetodon striatus"
"gbif",-68.280693,12.070752,"Chaetodon striatus"
"gbif",-82.13023,9.25225,"Chaetodon striatus"
"gbif",-82.202249,9.326706,"Chaetodon striatus"
"gbif",-88.063009,16.895836,"Chaetodon striatus"
"gbif",-87.098296,20.591457,"Chaetodon striatus"
"gbif",-68.295095,12.115527,"Chaetodon striatus"
"gbif",-88.062756,16.895704,"Chaetodon striatus"
"gbif",-75.166856,19.897058,"Chaetodon striatus"
"gbif",-76.599992,25.431692,"Chaetodon striatus"
"gbif",-67.269333,18.357468,"Chaetodon striatus"
"gbif",-79.1223,26.9898,"Chaetodon striatus"
"gbif",-80.560956,24.88043,"Chaetodon striatus"
"gbif",-78.959451,21.043561,"Chaetodon striatus"
"gbif",-80.304819,25.099581,"Chaetodon striatus"
"gbif",-86.600388,16.27277,"Chaetodon striatus"
"gbif",-72.220805,21.786118,"Chaetodon striatus"
"gbif",-72.220674,21.786119,"Chaetodon striatus"
"gbif",-72.218413,21.785353,"Chaetodon striatus"
"gbif",-72.221132,21.786264,"Chaetodon striatus"
"gbif",-82.254796,9.330172,"Chaetodon striatus"
"gbif",-69.881249,12.412739,"Chaetodon striatus"
"gbif",-86.983426,20.466248,"Chaetodon striatus"
"gbif",-82.030977,9.258697,"Chaetodon striatus"
"gbif",-82.047241,9.256932,"Chaetodon striatus"
"gbif",-82.031753,9.247214,"Chaetodon striatus"
"gbif",-61.104133,14.617118,"Chaetodon striatus"
"gbif",-61.104054,14.617099,"Chaetodon striatus"
"gbif",-81.404274,24.546141,"Chaetodon striatus"
"gbif",-81.402542,24.547033,"Chaetodon striatus"
"gbif",-86.872928,20.843815,"Chaetodon striatus"
"gbif",-60.696518,11.28207,"Chaetodon striatus"
"gbif",-74.39573,18.328123,"Chaetodon striatus"
"gbif",-60.838423,11.158571,"Chaetodon striatus"
"gbif",-45.409032,-23.845705,"Chaetodon striatus"
"gbif",-68.414329,12.282342,"Chaetodon striatus"
"gbif",-68.287389,12.103217,"Chaetodon striatus"
"gbif",-64.722972,18.366768,"Chaetodon striatus"
"gbif",-68.286141,12.163538,"Chaetodon striatus"
"gbif",-34.945608,-8.26636,"Chaetodon striatus"
"gbif",-34.941929,-8.256989,"Chaetodon striatus"
"gbif",-34.945417,-8.264126,"Chaetodon striatus"
"gbif",-34.946528,-8.25965,"Chaetodon striatus"
"gbif",-35.005687,-8.506463,"Chaetodon striatus"
"gbif",-80.677131,24.876888,"Chaetodon striatus"
"gbif",-80.312194,25.066159,"Chaetodon striatus"
"gbif",-68.321499,12.210185,"Chaetodon striatus"
"gbif",-68.316743,12.206341,"Chaetodon striatus"
"gbif",-68.31668,12.206393,"Chaetodon striatus"
"gbif",-76.29762,24.756764,"Chaetodon striatus"
"gbif",-77.52613,24.911026,"Chaetodon striatus"
"gbif",-76.216352,24.67638,"Chaetodon striatus"
"gbif",-68.413797,12.264761,"Chaetodon striatus"
"gbif",-68.281249,12.070408,"Chaetodon striatus"
"gbif",-68.281309,12.07043,"Chaetodon striatus"
"gbif",-68.268514,12.046421,"Chaetodon striatus"
"gbif",-68.232924,12.089962,"Chaetodon striatus"
"gbif",-68.232939,12.090044,"Chaetodon striatus"
"gbif",-68.281289,12.070419,"Chaetodon striatus"
"gbif",-72.22522,21.788681,"Chaetodon striatus"
"gbif",-68.2854,12.128879,"Chaetodon striatus"
"gbif",-77.457552,25.067922,"Chaetodon striatus"
"gbif",-66.455609,18.469455,"Chaetodon striatus"
"gbif",-79.883202,19.692109,"Chaetodon striatus"
"gbif",-68.28249,12.083499,"Chaetodon striatus"
"gbif",-68.337452,12.214933,"Chaetodon striatus"
"gbif",-80.097197,25.691594,"Chaetodon striatus"
"gbif",-81.738423,12.502023,"Chaetodon striatus"
"gbif",-80.0583,25.43345,"Chaetodon striatus"
"gbif",-61.07439,13.84929,"Chaetodon striatus"
"gbif",-86.594943,16.306412,"Chaetodon striatus"
"gbif",-80.0583,25.41519,"Chaetodon striatus"
"gbif",-87.007946,20.433683,"Chaetodon striatus"
"gbif",-61.075206,13.858249,"Chaetodon striatus"
"gbif",-81.785697,24.545179,"Chaetodon striatus"
"gbif",-61.081514,13.866248,"Chaetodon striatus"
"gbif",-61.065599,13.848832,"Chaetodon striatus"
"gbif",-77.401562,18.468374,"Chaetodon striatus"
"gbif",-77.153114,18.42853,"Chaetodon striatus"
"gbif",-68.861916,12.068571,"Chaetodon striatus"
"gbif",-64.663254,32.354935,"Chaetodon striatus"
"gbif",-87.305009,20.406402,"Chaetodon striatus"
"gbif",-65.340055,18.109995,"Chaetodon striatus"
"gbif",-68.296857,12.188009,"Chaetodon striatus"
"gbif",-68.337044,12.215381,"Chaetodon striatus"
"gbif",-68.276019,12.141763,"Chaetodon striatus"
"gbif",-64.886078,17.701672,"Chaetodon striatus"
"gbif",-64.885872,17.701545,"Chaetodon striatus"
"gbif",-86.547608,16.372955,"Chaetodon striatus"
"gbif",-34.99804,-8.510254,"Chaetodon striatus"
"gbif",-68.281887,12.083562,"Chaetodon striatus"
"gbif",-68.282489,12.071021,"Chaetodon striatus"
"gbif",-64.852776,18.317726,"Chaetodon striatus"
"gbif",-68.289688,12.167235,"Chaetodon striatus"
"gbif",-87.060142,20.553687,"Chaetodon striatus"
"gbif",-64.622658,18.321196,"Chaetodon striatus"
"gbif",-63.259885,17.62829,"Chaetodon striatus"
"gbif",-63.260576,17.630532,"Chaetodon striatus"
"gbif",-68.984444,12.134167,"Chaetodon striatus"
"gbif",-63.258809,17.637212,"Chaetodon striatus"
"gbif",-68.861667,12.068889,"Chaetodon striatus"
"gbif",-45.288069,-23.843822,"Chaetodon striatus"
"gbif",-64.698933,17.76155,"Chaetodon striatus"
"gbif",-68.859444,12.066111,"Chaetodon striatus"
"gbif",-63.17231,18.26572,"Chaetodon striatus"
"gbif",-60.698261,11.2801,"Chaetodon striatus"
"gbif",-81.254128,19.271215,"Chaetodon striatus"
"gbif",-63.263887,17.616651,"Chaetodon striatus"
"gbif",-61.087374,14.532063,"Chaetodon striatus"
"gbif",-61.087552,14.527499,"Chaetodon striatus"
"gbif",-61.087378,14.532065,"Chaetodon striatus"
"gbif",-61.087442,14.532089,"Chaetodon striatus"
"gbif",-61.087556,14.527491,"Chaetodon striatus"
"gbif",-87.778689,16.762399,"Chaetodon striatus"
"gbif",-81.689182,12.572161,"Chaetodon striatus"
"gbif",-86.60521,16.286096,"Chaetodon striatus"
"gbif",-86.997542,16.090977,"Chaetodon striatus"
"gbif",-68.314559,12.14819,"Chaetodon striatus"
"gbif",-74.481928,24.02232,"Chaetodon striatus"
"gbif",-45.084915,-23.43453,"Chaetodon striatus"
"gbif",-68.321887,12.210643,"Chaetodon striatus"
"gbif",-68.283434,12.132234,"Chaetodon striatus"
"gbif",-82.146148,9.254111,"Chaetodon striatus"
"gbif",-80.077065,26.963854,"Chaetodon striatus"
"gbif",-60.696981,11.281943,"Chaetodon striatus"
"gbif",-68.284298,12.161445,"Chaetodon striatus"
"gbif",-68.283411,12.132743,"Chaetodon striatus"
"gbif",-61.088098,14.529493,"Chaetodon striatus"
"gbif",-61.089381,14.528028,"Chaetodon striatus"
"gbif",-86.984253,20.473047,"Chaetodon striatus"
"gbif",-61.087662,14.52835,"Chaetodon striatus"
"gbif",-63.260427,17.614839,"Chaetodon striatus"
"gbif",-88.061667,16.896944,"Chaetodon striatus"
"gbif",-64.868163,18.306827,"Chaetodon striatus"
"gbif",-64.868183,18.306746,"Chaetodon striatus"
"gbif",-64.868299,18.306878,"Chaetodon striatus"
"gbif",-64.868304,18.30677,"Chaetodon striatus"
"gbif",-40.27732,-20.309198,"Chaetodon striatus"
"gbif",-61.18816,14.75918,"Chaetodon striatus"
"gbif",-61.21461,14.78133,"Chaetodon striatus"
"gbif",-67.0779,17.9412,"Chaetodon striatus"
"gbif",-61.22053,14.78867,"Chaetodon striatus"
"gbif",-67.16822,18.46281,"Chaetodon striatus"
"gbif",-67.16267,18.45713,"Chaetodon striatus"
"gbif",-67.26573,18.35065,"Chaetodon striatus"
"gbif",-67.16075,18.44494,"Chaetodon striatus"
"gbif",-61.7225,17.14058,"Chaetodon striatus"
"gbif",-87.741375,18.540095,"Chaetodon striatus"
"gbif",-87.760431,18.421533,"Chaetodon striatus"
"gbif",-87.727125,18.624947,"Chaetodon striatus"
"gbif",-87.741073,18.539815,"Chaetodon striatus"
"gbif",-87.915842,17.651956,"Chaetodon striatus"
"gbif",-71.289608,19.846325,"Chaetodon striatus"
"gbif",-63.25498,17.615607,"Chaetodon striatus"
"gbif",-63.265381,17.644956,"Chaetodon striatus"
"gbif",-39.082758,-16.46257,"Chaetodon striatus"
"gbif",-74.406333,11.034533,"Chaetodon striatus"
"gbif",-74.455717,11.073367,"Chaetodon striatus"
"gbif",-66.85434,17.95632,"Chaetodon striatus"
"gbif",-67.15586,18.4264,"Chaetodon striatus"
"gbif",-67.26918,18.35743,"Chaetodon striatus"
"gbif",-87.760695,18.421711,"Chaetodon striatus"
"gbif",-80.139928,25.684196,"Chaetodon striatus"
"gbif",-80.05166,26.0525,"Chaetodon striatus"
"gbif",-65.316293,18.309149,"Chaetodon striatus"
"gbif",-65.634745,18.37614,"Chaetodon striatus"
"gbif",-61.78349,16.17376,"Chaetodon striatus"
"gbif",-61.72344,15.986,"Chaetodon striatus"
"gbif",-61.78454,16.17459,"Chaetodon striatus"
"gbif",-61.79016,16.16654,"Chaetodon striatus"
"gbif",-61.79092,16.1688,"Chaetodon striatus"
"gbif",-61.78818,16.16702,"Chaetodon striatus"
"gbif",-74.127354,11.320028,"Chaetodon striatus"
"gbif",-67.042957,17.879118,"Chaetodon striatus"
"gbif",-67.27524,18.16517,"Chaetodon striatus"
"gbif",-67.27367,18.16304,"Chaetodon striatus"
"gbif",-67.27632,18.16637,"Chaetodon striatus"
"gbif",-67.26688,18.35072,"Chaetodon striatus"
"gbif",-67.27118,18.34652,"Chaetodon striatus"
"gbif",-67.26997,18.34732,"Chaetodon striatus"
"gbif",-65.60128,18.22362,"Chaetodon striatus"
"gbif",-67.01861,17.93498,"Chaetodon striatus"
"gbif",-95.807495,19.142567,"Chaetodon striatus"
"gbif",-65.45457,18.093108,"Chaetodon striatus"
"gbif",-65.454501,18.093083,"Chaetodon striatus"
"gbif",-65.454431,18.093287,"Chaetodon striatus"
"gbif",-63.256928,17.63662,"Chaetodon striatus"
"gbif",-87.030777,20.392155,"Chaetodon striatus"
"gbif",-66.95998,17.89755,"Chaetodon striatus"
"gbif",-67.23322,17.99116,"Chaetodon striatus"
"gbif",-67.3299,18.0017,"Chaetodon striatus"
"gbif",-66.9978,17.88827,"Chaetodon striatus"
"gbif",-68.280414,12.072261,"Chaetodon striatus"
"gbif",-61.079272,13.864177,"Chaetodon striatus"
"gbif",-61.804301,16.275274,"Chaetodon striatus"
"gbif",-87.708331,18.7033,"Chaetodon striatus"
"gbif",-87.708233,18.707256,"Chaetodon striatus"
"gbif",-77.208056,25.086389,"Chaetodon striatus"
"gbif",-79.026076,22.660277,"Chaetodon striatus"
"gbif",-68.41532,12.281763,"Chaetodon striatus"
"gbif",-68.414883,12.281721,"Chaetodon striatus"
"gbif",-68.352327,12.219065,"Chaetodon striatus"
"gbif",-68.28834,12.167722,"Chaetodon striatus"
"gbif",-87.989635,17.842689,"Chaetodon striatus"
"gbif",-62.853121,17.904186,"Chaetodon striatus"
"gbif",-61.5417,16.43737,"Chaetodon striatus"
"gbif",-80.139603,25.369356,"Chaetodon striatus"
"gbif",-87.047523,20.348198,"Chaetodon striatus"
"gbif",-72.208127,21.785877,"Chaetodon striatus"
"gbif",-66.88836,17.93626,"Chaetodon striatus"
"gbif",-66.87385,17.93657,"Chaetodon striatus"
"gbif",-66.7563,17.9649,"Chaetodon striatus"
"gbif",-66.75284,17.96093,"Chaetodon striatus"
"gbif",-66.74697,17.95955,"Chaetodon striatus"
"gbif",-67.05067,17.93937,"Chaetodon striatus"
"gbif",-67.0485,17.93472,"Chaetodon striatus"
"gbif",-68.29039,12.174225,"Chaetodon striatus"
"gbif",-65.08205,18.34064,"Chaetodon striatus"
"gbif",-64.99104,18.31822,"Chaetodon striatus"
"gbif",-64.94592,18.28068,"Chaetodon striatus"
"gbif",-64.89833,18.27883,"Chaetodon striatus"
"gbif",-66.52824,17.89507,"Chaetodon striatus"
"gbif",-66.60856,17.90404,"Chaetodon striatus"
"gbif",-66.3025,17.93457,"Chaetodon striatus"
"gbif",-66.21401,17.91544,"Chaetodon striatus"
"gbif",-68.288967,12.171904,"Chaetodon striatus"
"gbif",-81.3467,13.3659,"Chaetodon striatus"
"gbif",-81.405056,13.362722,"Chaetodon striatus"
"gbif",-64.87237,18.26267,"Chaetodon striatus"
"gbif",-64.83238,18.29459,"Chaetodon striatus"
"gbif",-68.991632,12.138778,"Chaetodon striatus"
"gbif",-87.336944,18.560994,"Chaetodon striatus"
"gbif",-86.988205,20.456963,"Chaetodon striatus"
"gbif",-68.289013,12.17113,"Chaetodon striatus"
"gbif",-68.281617,12.079358,"Chaetodon striatus"
"gbif",-61.21372,14.78152,"Chaetodon striatus"
"gbif",-64.59743,17.76278,"Chaetodon striatus"
"gbif",-64.8135,17.77388,"Chaetodon striatus"
"gbif",-64.6988,17.7615,"Chaetodon striatus"
"gbif",-64.5716,17.74337,"Chaetodon striatus"
"gbif",-64.8954,17.734,"Chaetodon striatus"
"gbif",-64.86058,18.31257,"Chaetodon striatus"
