scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-82.983138,12.302679
Chaetodon striatus,-68.231102,12.092598
Chaetodon striatus,-67.168947,18.472243
Chaetodon striatus,-87.098296,20.591457
Chaetodon striatus,-75.166856,19.897058
Chaetodon striatus,-79.1223,26.9898
Chaetodon striatus,-78.959451,21.043561
Chaetodon striatus,-72.220674,21.786119
Chaetodon striatus,-69.881249,12.412739
Chaetodon striatus,-82.030977,9.258697
Chaetodon striatus,-74.39573,18.328123
Chaetodon striatus,-45.409032,-23.845705
Chaetodon striatus,-76.29762,24.756764
Chaetodon striatus,-77.52613,24.911026
Chaetodon striatus,-68.413797,12.264761
Chaetodon striatus,-66.455609,18.469455
Chaetodon striatus,-86.594943,16.306412
Chaetodon striatus,-61.065599,13.848832
Chaetodon striatus,-77.153114,18.42853
Chaetodon striatus,-64.663254,32.354935
Chaetodon striatus,-87.305009,20.406402
Chaetodon striatus,-34.99804,-8.510254
Chaetodon striatus,-86.997542,16.090977
Chaetodon striatus,-74.481928,24.02232
Chaetodon striatus,-45.084915,-23.43453
Chaetodon striatus,-80.077065,26.963854
Chaetodon striatus,-60.696981,11.281943
Chaetodon striatus,-61.21461,14.78133
Chaetodon striatus,-71.289608,19.846325
Chaetodon striatus,-63.265381,17.644956
Chaetodon striatus,-39.082758,-16.46257
Chaetodon striatus,-87.760695,18.421711
Chaetodon striatus,-80.05166,26.0525
Chaetodon striatus,-61.72344,15.986
Chaetodon striatus,-95.807495,19.142567
Chaetodon striatus,-65.45457,18.093108
Chaetodon striatus,-87.030777,20.392155
Chaetodon striatus,-67.3299,18.0017
Chaetodon striatus,-61.804301,16.275274
Chaetodon striatus,-87.708233,18.707256
Chaetodon striatus,-87.989635,17.842689
Chaetodon striatus,-62.853121,17.904186
Chaetodon striatus,-61.5417,16.43737
Chaetodon striatus,-66.75284,17.96093
Chaetodon striatus,-66.52824,17.89507
Chaetodon striatus,-66.3025,17.93457
Chaetodon striatus,-64.8624,17.6366
Chaetodon striatus,-64.95659,18.18885
Chaetodon striatus,-64.93438,18.37425
Chaetodon striatus,-78.019539,24.706381
Chaetodon striatus,-73.959291,11.323956
