scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-40.273276,-20.333822
Chaetodon striatus,-82.983138,12.302679
Chaetodon striatus,-61.078684,13.86633
Chaetodon striatus,-75.166856,19.897058
Chaetodon striatus,-79.1223,26.9898
Chaetodon striatus,-78.959451,21.043561
Chaetodon striatus,-72.218413,21.785353
Chaetodon striatus,-82.254796,9.330172
Chaetodon striatus,-69.881249,12.412739
Chaetodon striatus,-74.39573,18.328123
Chaetodon striatus,-60.838423,11.158571
Chaetodon striatus,-45.409032,-23.845705
Chaetodon striatus,-34.946528,-8.25965
Chaetodon striatus,-35.005687,-8.506463
Chaetodon striatus,-77.52613,24.911026
Chaetodon striatus,-76.216352,24.67638
Chaetodon striatus,-68.413797,12.264761
Chaetodon striatus,-68.281249,12.070408
Chaetodon striatus,-77.401562,18.468374
Chaetodon striatus,-77.153114,18.42853
Chaetodon striatus,-64.663254,32.354935
Chaetodon striatus,-87.305009,20.406402
Chaetodon striatus,-63.17231,18.26572
Chaetodon striatus,-81.689182,12.572161
Chaetodon striatus,-86.60521,16.286096
Chaetodon striatus,-86.997542,16.090977
Chaetodon striatus,-74.481928,24.02232
Chaetodon striatus,-45.084915,-23.43453
Chaetodon striatus,-80.077065,26.963854
Chaetodon striatus,-71.289608,19.846325
Chaetodon striatus,-39.082758,-16.46257
Chaetodon striatus,-67.15586,18.4264
Chaetodon striatus,-87.760695,18.421711
Chaetodon striatus,-80.05166,26.0525
Chaetodon striatus,-61.78818,16.16702
Chaetodon striatus,-95.807495,19.142567
Chaetodon striatus,-67.3299,18.0017
Chaetodon striatus,-87.708233,18.707256
Chaetodon striatus,-87.989635,17.842689
Chaetodon striatus,-62.853121,17.904186
Chaetodon striatus,-61.5417,16.43737
Chaetodon striatus,-87.047523,20.348198
Chaetodon striatus,-66.74697,17.95955
Chaetodon striatus,-66.52824,17.89507
Chaetodon striatus,-66.3025,17.93457
Chaetodon striatus,-64.8624,17.6366
Chaetodon striatus,-64.93438,18.37425
Chaetodon striatus,-78.019539,24.706381
Chaetodon striatus,-60.696617,11.281937
Chaetodon striatus,-84.456528,21.872008
Chaetodon striatus,-73.959291,11.323956
Chaetodon striatus,-86.372673,16.38167
Chaetodon striatus,-35.2572,-9.09103
Chaetodon striatus,-61.181072,14.728909
Chaetodon striatus,-61.458653,12.488645
Chaetodon striatus,-87.063732,20.620574
Chaetodon striatus,-82.618183,9.630245
Chaetodon striatus,-61.72642,15.98449
Chaetodon striatus,-61.238286,13.006866
Chaetodon striatus,-77.8609771729,24.8449306488
Chaetodon striatus,-78.4653320312,20.5869674683
Chaetodon striatus,-69.0307,18.3676
Chaetodon striatus,-87.5264968872,17.2210006714
Chaetodon striatus,-78.6557159424,9.51865005493
Chaetodon striatus,-79.0300140381,20.8479995728
Chaetodon striatus,-64.5669174194,17.7811794281
Chaetodon striatus,-77.6666667,33.3333333
Chaetodon striatus,-87.9389801025,17.3858337402
Chaetodon striatus,-66.890399,11.79373
Chaetodon striatus,-66.681258,11.947649
Chaetodon striatus,-75.7888611,10.1708889
Chaetodon striatus,-88.0495147705,16.9197998047
Chaetodon striatus,-77.3866500854,23.947599411
Chaetodon striatus,-61.3487167358,12.6357164383
Chaetodon striatus,-81.0962142944,21.7383499146
Chaetodon striatus,-77.6933288574,24.5958309174
Chaetodon striatus,-79.4105148315,21.0673160553
Chaetodon striatus,-60.3333333333,13.5
Chaetodon striatus,-79.279434,25.733652
Chaetodon striatus,-81.2977828979,21.6118507385
Chaetodon striatus,-82.8050003052,9.73833370209
Chaetodon striatus,-66.5804519653,11.7785167694
Chaetodon striatus,-64.4099349976,18.7527332306
Chaetodon striatus,-60.5066680908,11.3066673279
Chaetodon striatus,-88.0722503662,16.7226333618
Chaetodon striatus,-38.883,-18.3
Chaetodon striatus,-77.3586666,8.6704166
Chaetodon striatus,-79.7304000854,19.7543506622
Chaetodon striatus,-81.4143944,13.3655167
Chaetodon striatus,-87,22
Chaetodon striatus,-66.3736,18.48916
Chaetodon striatus,-87.2983703613,18.5579833984
Chaetodon striatus,-87.8470535278,16.7112159729
Chaetodon striatus,-81.8486111,12.17555
Chaetodon striatus,-82.31300354,21.96999931
Chaetodon striatus,-87.623336792,18.9022216797
Chaetodon striatus,-39.031944,-17.46
Chaetodon striatus,-77.3769989014,23.6965007782
Chaetodon striatus,-82.2666633,24.5
Chaetodon striatus,-83.1736831665,21.5914669037
Chaetodon striatus,-43.231148,-23.078035
Chaetodon striatus,-44.582,-23.255
Chaetodon striatus,-44.191,-23.102
Chaetodon striatus,-86.500725,30.406639
Chaetodon striatus,-64.5083333333,11.8416666667
Chaetodon striatus,-82.0325698853,9.2470331192
Chaetodon striatus,-76.2022778,9.3714444
Chaetodon striatus,-81.6370697021,21.5691833496
Chaetodon striatus,-76,24
Chaetodon striatus,-74.112032,18.648658
Chaetodon striatus,-81.5158691406,22.0216159821
Chaetodon striatus,-61.1042,14.5047
Chaetodon striatus,-81.1846,24.61295
Chaetodon striatus,-61.723377,17.01519
Chaetodon striatus,-79.5581512451,21.2176990509
