scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-82.983138,12.302679
Chaetodon striatus,-67.168947,18.472243
Chaetodon striatus,-87.098296,20.591457
Chaetodon striatus,-76.599992,25.431692
Chaetodon striatus,-79.1223,26.9898
Chaetodon striatus,-78.959451,21.043561
Chaetodon striatus,-82.254796,9.330172
Chaetodon striatus,-69.881249,12.412739
Chaetodon striatus,-82.030977,9.258697
Chaetodon striatus,-81.404274,24.546141
Chaetodon striatus,-86.872928,20.843815
Chaetodon striatus,-60.696518,11.28207
Chaetodon striatus,-74.39573,18.328123
Chaetodon striatus,-68.414329,12.282342
Chaetodon striatus,-34.945608,-8.26636
Chaetodon striatus,-35.005687,-8.506463
Chaetodon striatus,-77.52613,24.911026
Chaetodon striatus,-76.216352,24.67638
Chaetodon striatus,-61.081514,13.866248
Chaetodon striatus,-64.663254,32.354935
Chaetodon striatus,-87.305009,20.406402
Chaetodon striatus,-68.282489,12.071021
Chaetodon striatus,-45.288069,-23.843822
Chaetodon striatus,-86.997542,16.090977
Chaetodon striatus,-74.481928,24.02232
Chaetodon striatus,-45.084915,-23.43453
Chaetodon striatus,-80.077065,26.963854
Chaetodon striatus,-61.089381,14.528028
Chaetodon striatus,-61.22053,14.78867
Chaetodon striatus,-61.7225,17.14058
Chaetodon striatus,-87.760431,18.421533
Chaetodon striatus,-71.289608,19.846325
Chaetodon striatus,-39.082758,-16.46257
Chaetodon striatus,-80.05166,26.0525
Chaetodon striatus,-65.634745,18.37614
Chaetodon striatus,-61.79016,16.16654
Chaetodon striatus,-95.807495,19.142567
Chaetodon striatus,-65.454501,18.093083
Chaetodon striatus,-87.030777,20.392155
Chaetodon striatus,-87.708331,18.7033
Chaetodon striatus,-87.989635,17.842689
Chaetodon striatus,-62.853121,17.904186
Chaetodon striatus,-61.5417,16.43737
Chaetodon striatus,-66.3025,17.93457
Chaetodon striatus,-64.8624,17.6366
Chaetodon striatus,-64.95659,18.18885
Chaetodon striatus,-77.329122,18.464947
Chaetodon striatus,-78.019539,24.706381
Chaetodon striatus,-73.959291,11.323956
Chaetodon striatus,-86.372673,16.38167
Chaetodon striatus,-35.2572,-9.09103
Chaetodon striatus,-86.582139,16.32726
Chaetodon striatus,-61.458653,12.488645
Chaetodon striatus,-40.250379,-20.278933
Chaetodon striatus,-82.618183,9.630245
Chaetodon striatus,-61.72642,15.98449
Chaetodon striatus,-61.238286,13.006866
